Maryland 2005-fieldExp
JDay Date         SolRad    Tmax    Tmin   rain   Rhum   CO2
1    "01/01/2005"  6.316  11.667  -2.833   0.00  66.30 380.0
2    "01/02/2005"  3.724  12.222   3.056   0.14  88.10 380.0
3    "01/03/2005"  3.084  15.833   5.111   0.00  91.05 380.0
4    "01/04/2005"  4.208  21.944   6.222   0.00  89.95 380.0
5    "01/05/2005"  1.140   8.500   4.722   0.29  84.60 380.0
6    "01/06/2005"  5.633   5.056  -5.278   0.00  54.25 380.0
7    "01/07/2005"  9.063  -1.444  -7.611   0.00  51.65 380.0
8    "01/08/2005"  4.501   0.944  -8.111   0.00  59.30 380.0
9    "01/09/2005"  4.432   0.556  -9.556   0.00  66.80 380.0
10   "01/10/2005"  9.167  -7.167 -14.444   0.00  57.85 380.0
11   "01/11/2005"  8.821  -0.333 -12.667   0.00  64.05 380.0
12   "01/12/2005"  2.817   9.444  -3.722   0.00  73.95 380.0
13   "01/13/2005"  6.299  11.056  -2.444   0.00  73.30 380.0
14   "01/14/2005"  6.480  -0.278  -4.611   0.00  67.70 380.0
15   "01/15/2005"  8.320   0.222  -8.333   0.00  67.35 380.0
16   "01/16/2005" 10.074  -2.722 -10.500   0.00  41.15 380.0
17   "01/17/2005"  4.320   1.167  -7.000   0.00  69.85 380.0
18   "01/18/2005"  1.201   2.722  -3.000   0.37  82.25 380.0
19   "01/19/2005"  9.893  -1.722  -5.833   0.00  57.60 380.0
20   "01/20/2005"  9.720  -1.778  -6.389   0.00  53.80 380.0
21   "01/21/2005"  9.513  -1.556  -8.056   0.00  64.25 380.0
22   "01/22/2005"  3.948   6.722  -8.167   0.00  64.55 380.0
23   "01/23/2005" 10.489  -4.389  -9.556   0.00  63.85 380.0
24   "01/24/2005"  4.692  -2.889  -7.944   0.00  74.05 380.0
25   "01/25/2005"  4.294  -6.556 -11.333   0.00  69.70 380.0
26   "01/26/2005"  2.419  -6.167  -9.556   0.00 100.00 380.0
27   "01/27/2005"  2.264  -1.278  -6.556   0.00 100.00 380.0
